FHLBank,FIPSStateCode,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount
472522,64500,129828,2,360,2,59,0.0338,2,301342
472522,51075,113496,1,360,2,45,0.0325,5,290106
472522,52431,143988,1,360,2,70,0.0325,4,417000
472522,66262,100500,1,360,2,81,0.0325,5,365000
472522,49426,140196,1,360,2,47,0.0325,5,347130
472522,62912,96252,2,360,2,48,0.0325,5,380000
472522,47830,69816,2,360,2,63,0.035,5,285202
472522,54996,117288,1,360,1,34,0.0325,2,224627
472522,53906,111756,1,360,2,78,0.0325,5,339898
472522,75847,369480,2,360,2,60,0.0325,4,405000
472522,47830,49968,1,360,1,31,0.0325,3,103120
472522,55653,124992,2,360,2,38,0.0325,5,109498
472522,49426,124392,2,360,2,44,0.0325,5,415316
472522,55702,105108,1,360,2,46,0.0325,5,196270
472522,61255,142728,2,360,2,53,0.0325,5,384000
472522,55653,105480,1,360,1,62,0.0338,5,259283
472522,75847,184764,1,360,2,54,0.0325,4,455000
472522,66262,161772,2,360,2,45,0.0325,5,475000
472522,75847,224712,1,360,1,45,0.0338,3,526050
472522,66262,300600,1,360,2,58,0.0325,5,551306
472522,66262,185496,1,360,1,30,0.0338,3,444352
472522,66262,245940,2,360,2,50,0.0325,5,623000
472522,66262,209880,1,360,2,59,0.0363,4,566050
472522,66262,242364,2,360,2,49,0.035,5,519500
472522,75847,164532,1,360,1,52,0.0338,3,625500
472522,66262,125496,1,360,2,44,0.0325,4,574000
